ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,dien-thoai-may-tinh-bang,273947792,"Điện thoại AI Samsung Galaxy S24 Ultra 12GB/256GB, Camera 200MP Zoom 100x, S Pen- Tím- Hàng Chính Hãng",28990000,34490000,5500000,16
TIKI,dien-thoai-may-tinh-bang,272909668,"[Mới] Điện thoại vivo V29e 5G (8GB/256GB) - Hàng Chính Hãng - Camera Selfie 50 MP - Vòng Sáng Aura 2.0 - Màn hình AMOLED 6.67",8990000,8990000,0,0
TIKI,dien-thoai-may-tinh-bang,270510406,"Điện thoại Vivo Y36 (8GB/128GB) - Hàng Chính Hãng - Camera 50MP - Sạc Nhanh 44W",5190000,5190000,0,0
TIKI,dien-thoai-may-tinh-bang,217645692,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 16Gb và Bao da - Hàng nhập khẩu",4090000,4290000,200000,5
TIKI,dien-thoai-may-tinh-bang,184036446,"Apple iPhone 11",9990000,15999000,6009000,38
TIKI,dien-thoai-may-tinh-bang,184059211,"Apple iPhone 13",13490000,24990000,11500000,46
TIKI,dien-thoai-may-tinh-bang,272113804,"[MỚI] Điện thoại vivo Y17s - Hàng chính hãng - Camera 50MP - Pin 5000 mAh - Sạc nhanh- RAM mở rộng đến 8GB",3990000,3990000,0,0
TIKI,dien-thoai-may-tinh-bang,183330021,"Apple iPad 10.2-inch (9th Gen) Wi-Fi 2021",6990000,10990000,4000000,36
TIKI,dien-thoai-may-tinh-bang,125182567,"Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu",3680000,3680000,0,0
TIKI,dien-thoai-may-tinh-bang,273559020,"Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng chính hãng",3390000,3390000,0,0
TIKI,dien-thoai-may-tinh-bang,57809866,"Điện thoại Xiaomi Redmi 9A (2GB/32GB)",1690000,2490000,800000,32
TIKI,dien-thoai-may-tinh-bang,217640502,"Máy đọc sách Kindle Scribe - Hàng chính hãng",12590000,12590000,0,0
TIKI,dien-thoai-may-tinh-bang,173387789,"Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu",7200000,7200000,0,0
TIKI,dien-thoai-may-tinh-bang,125182567,"Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu",3680000,3680000,0,0
TIKI,dien-thoai-may-tinh-bang,201067649,"Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu",3849000,4100000,251000,6
TIKI,dien-thoai-may-tinh-bang,163914808,"Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng",300000,300000,0,0
TIKI,dien-thoai-may-tinh-bang,184248127,"Apple iPad mini (6th Gen) Wi-Fi 2021",11490000,14990000,3500000,23
TIKI,dien-thoai-may-tinh-bang,120295859,"Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng",1590000,1990000,400000,20
TIKI,dien-thoai-may-tinh-bang,252586291,"Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng",3890600,3890600,0,0
TIKI,dien-thoai-may-tinh-bang,43924153,"Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu",7166800,7790000,623200,8
TIKI,dien-thoai-may-tinh-bang,123345348,"Apple iPhone 12",12750000,16990000,4240000,25
TIKI,dien-thoai-may-tinh-bang,217706932,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu",3750000,3750000,0,0
TIKI,dien-thoai-may-tinh-bang,271362153,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",3790000,3790000,0,0
TIKI,dien-thoai-may-tinh-bang,198111545,"Điện Thoại Vivo V25e 2022 (8GB/128GB) - Hàng Chính Hãng",8490000,8490000,0,0
TIKI,dien-thoai-may-tinh-bang,204237269,"Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng - Trắng",600000,600000,0,0
TIKI,dien-thoai-may-tinh-bang,201067649,"Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu",3760000,3990000,230000,6
TIKI,dien-thoai-may-tinh-bang,73842403,"Điện thoại bàn có dây nhỏ gọn màu trắng",250000,250000,0,0
TIKI,dien-thoai-may-tinh-bang,197654695,"Điện thoại Masstel izi 26 4G - Gọi HD Call - Hàng chính hãng",499000,650000,151000,23
TIKI,dien-thoai-may-tinh-bang,173387789,"Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu",5890000,5890000,0,0
TIKI,dien-thoai-may-tinh-bang,121744434,"Điện Thoại Xiaomi Redmi 10 4GB/128GB - Hàng Chính Hãng",2889000,4290000,1401000,33
TIKI,dien-thoai-may-tinh-bang,150724369,"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",3115000,3500000,385000,11
TIKI,dien-thoai-may-tinh-bang,197960169,"Điện thoại Masstel Lux 10 4G - Sang trọng - Gọi HD Call - Hàng chính hãng",549000,700000,151000,22
TIKI,dien-thoai-may-tinh-bang,172329599,"Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng",1790000,2199000,409000,19
TIKI,dien-thoai-may-tinh-bang,170165701,"Điện thoại bàn Ktel 645 hàng chính hãng",398000,398000,0,0
