ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,74021317,"Cây Cam Ngọt Của Tôi",75500,108000,32500,30
TIKI,nha-sach-tiki,188940817,"Vị Thần Của Những Quyết Định",51300,79000,27700,35
TIKI,nha-sach-tiki,189643105,"Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt",92100,128000,35900,28
TIKI,nha-sach-tiki,26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",64900,89000,24100,27
TIKI,nha-sach-tiki,109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",129000,179000,50000,28
TIKI,nha-sach-tiki,174301838,"BỘ BOOKMARK 1% TINH HOA",49000,49000,0,0
TIKI,nha-sach-tiki,52789367,"Nhà Giả Kim (Tái Bản 2020)",61500,79000,17500,22
TIKI,nha-sach-tiki,174444163,"Dear, Darling",63300,88000,24700,28
TIKI,nha-sach-tiki,69764541,"Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark )",70500,98000,27500,28
TIKI,nha-sach-tiki,147920903,"Một Thoáng Ta Rực Rỡ Ở Nhân Gian",108000,135000,27000,20
TIKI,nha-sach-tiki,121635154,"Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark)",51700,72000,20300,28
TIKI,nha-sach-tiki,73787185,"Những Tù Nhân Của Địa Lý",168000,210000,42000,20
TIKI,nha-sach-tiki,42230121,"Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm",129000,158000,29000,18
TIKI,nha-sach-tiki,3954355,"Yêu Những Điều Không Hoàn Hảo",108000,139000,31000,22
TIKI,nha-sach-tiki,275243138,"Rèn Luyện Tư Duy Phản Biện - 2019",65600,71100,5500,8
TIKI,nha-sach-tiki,73207240,"Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing",135000,165000,30000,18
TIKI,nha-sach-tiki,117238177,"Thư Viện Nửa Đêm",120000,150000,30000,20
TIKI,nha-sach-tiki,143217512,"Điềm Tĩnh Và Nóng Giận",69900,96000,26100,27
TIKI,nha-sach-tiki,72882553,"Kỷ Luật Tự Giác (Tặng Kèm Bookmark )",65400,84000,18600,22
TIKI,nha-sach-tiki,193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",599000,599000,0,0
TIKI,nha-sach-tiki,195969664,"Tokyo Revengers - Tập 4",46000,115000,69000,60
TIKI,nha-sach-tiki,121635152,"Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái)",84900,119000,34100,29
TIKI,nha-sach-tiki,85763211,"Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark)",73200,99000,25800,26
TIKI,nha-sach-tiki,106863963,"Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội",105000,145000,40000,28
TIKI,nha-sach-tiki,196515658,"Blue Period - Tập 04",33500,48000,14500,30
TIKI,nha-sach-tiki,117254517,"Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm",192000,240000,48000,20
TIKI,nha-sach-tiki,157432544,"Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản)",144000,220000,76000,35
TIKI,nha-sach-tiki,68585576,"Càng Kỷ Luật, Càng Tự Do",79500,109000,29500,27
