ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,173763072,"Tâm Lý Học Hẹn Hò - Nghệ Thuật Giao Tiếp Trong Tình Yêu",78000,109000,31000,28
TIKI,nha-sach-tiki,273624916,"[ Trạm Đọc Official ]  Trí Tuệ Do Thái (Tái Bản)",142000,189000,47000,25
TIKI,nha-sach-tiki,124767703,"Cân Bằng Cảm Xúc Cả Lúc Bão Giông (Tặng Kèm Bookmark)(Tái Bản)",67100,105000,37900,36
TIKI,nha-sach-tiki,100931416,"Bắt Đầu Với Câu Hỏi Tại Sao - Nghệ Thuật Truyền Cảm Hứng Trong Kinh Doanh (Tái Bản)",78000,109000,31000,28
TIKI,nha-sach-tiki,194205620,"Người Hướng Nội Trong Thế Giới Hướng Ngoại",79000,105000,26000,25
TIKI,nha-sach-tiki,168234714,"Cư Xử Như Đàn Bà Suy Nghĩ Như Đàn Ông",78100,109000,30900,28
TIKI,nha-sach-tiki,55605170,"Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc Sống",119000,185000,66000,36
TIKI,nha-sach-tiki,197353399,"Học Viện Siêu Anh Hùng Vigilantes - My Hero Academia Illegals - Tập 1: Đã Có Ta Ở Đây",29000,30000,1000,3
TIKI,nha-sach-tiki,71907876,"Từ Điển Tiếng “Em”",48200,69000,20800,30
TIKI,nha-sach-tiki,8886007,"Ngàn Mặt Trời Rực Rỡ (Tái Bản)",100000,130000,30000,23
TIKI,nha-sach-tiki,158019962,"Combo 3 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến 2 (Tái Bản)",262000,377000,115000,31
TIKI,nha-sach-tiki,105483727,"Ổn Định Hay Tự Do",92400,129000,36600,28
TIKI,nha-sach-tiki,195187480,"Thiên Quan Tứ Phúc - Tập 6 (Tiểu thuyết, đam mỹ)",110700,159000,48300,30
TIKI,nha-sach-tiki,3644267,"Đặc Quyền Của Gái Hư",61400,86000,24600,29
TIKI,nha-sach-tiki,120219394,"Tôi Nói Gì Khi Nói Về Chạy Bộ",53000,76000,23000,30
TIKI,nha-sach-tiki,191920180,"Cherry Magic - Tập 1",86000,109000,23000,21
TIKI,nha-sach-tiki,149089470,"Những Vị Thần Nước Mỹ",187000,250000,63000,25
TIKI,nha-sach-tiki,154245455,"Combo 2 Cuốn Nghiền Từ Vựng Tiếng Anh: Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng",177000,270000,93000,34
TIKI,nha-sach-tiki,126743459,"Fear - Sợ Hãi (Hóa Giải Sợ Hãi Bằng Tình Thương)",76100,109000,32900,30
TIKI,nha-sach-tiki,185071145,"Sói Đầu Đàn Và Cún Nhỏ - Tập 2",105000,135000,30000,22
TIKI,nha-sach-tiki,35191892,"21 Bài Học Cho Thế Kỷ 21",162000,209000,47000,22
TIKI,nha-sach-tiki,194960238,"Slam Dunk - Deluxe Edition - Tập 10",55000,60000,5000,8
TIKI,nha-sach-tiki,104741661,"Combo 2 Tập : 999 Lá Thư Gửi Cho Chính Mình (Tái Bản)",193000,258000,65000,25
TIKI,nha-sach-tiki,197781975,"Dr.Slump Ultimate Edition Tập 12",59500,60000,500,1
TIKI,nha-sach-tiki,167210779,"Quyền Lực",111000,155000,44000,28
TIKI,nha-sach-tiki,54422942,"Tôi Quyết Định Sống Cho Chính Tôi (Tái Bản 2020)",59400,88000,28600,33
TIKI,nha-sach-tiki,196016781,"Kingdom - Tập 33",42000,45000,3000,7
TIKI,nha-sach-tiki,195190105,"Color Rush - Bản Thông Thường",223000,265000,42000,16
TIKI,nha-sach-tiki,152740748,"Lối Sống Tối Giản Của Người Nhật (Tái Bản)",85200,119000,33800,28
TIKI,nha-sach-tiki,54748899,"Sách Muôn Kiếp Nhân Sinh (Bìa Mềm) - Nguyên Phong",118000,168000,50000,30
TIKI,nha-sach-tiki,57110087,"Siêu Cò – How To Be A Power Connector",249000,249000,0,0
TIKI,nha-sach-tiki,196851310,"Migi & Dali - Tập 2",39000,40000,1000,3
TIKI,nha-sach-tiki,87226756,"Những Đêm Không Ngủ, Những Ngày Chậm Trôi",56000,86000,30000,35
TIKI,nha-sach-tiki,3608623,"Bí Mật Của Phan Thiên Ân",69000,69000,0,0
